Most popular cuisine in each city:

                  City                                         Cuisines  Count
             Abu Dhabi                                         American      2
                  Agra                            North Indian, Mughlai      5
             Ahmedabad Cafe, American, Continental, Armenian, Fast Food      1
                Albany                           Japanese, Steak, Sushi      2
             Allahabad                            North Indian, Chinese      3
              Amritsar                                     North Indian      7
                Ankara                             Kebab, Turkish Pizza      4
              Armidale                                  Bar Food, Steak      1
                Athens                         American, Italian, Pizza      2
              Auckland                                             Cafe      2
               Augusta                                          Mexican      2
            Aurangabad                                     North Indian      2
              Balingup                                Modern Australian      1
               Bandung                    Cafe, Coffee and Tea, Western      1
             Bangalore                             Pizza, Cafe, Italian      3
            Beechworth                                  Pizza, Bar Food      1
                Bhopal                                        Fast Food      4
          Bhubaneshwar                                          Chinese      3
            Birmingham                                          Italian      2
                 Bogor                        Cafe, Desserts, Beverages      1
                 Boise                               American, Bar Food      2
             Bras�_lia                                    International      2
             Cape Town                                 Burger, American      1
Cedar Rapids/Iowa City                      American, Breakfast, Burger      2
            Chandigarh                                   American, Cafe      1
          Chatham-Kent                                  Japanese, Sushi      1
               Chennai     North Indian, Mughlai, Chinese, South Indian      3
            Clatskanie                    American, Breakfast, Desserts      1
              Cochrane                                  Asian, Japanese      1
            Coimbatore                                 Bakery, Desserts      1
               Colombo                  American, Chinese, North Indian      1
              Columbus                                         American      2
               Consort                                Chinese, Canadian      1
                Dalton                          American, BBQ, Southern      2
             Davenport                                         American      3
              Dehradun                                             Cafe      3
            Des Moines                                    American, BBQ      1
           Dicky Beach           Coffee and Tea, Tea, Modern Australian      1
                  Doha                                           Indian      5
                 Dubai                                           Indian      3
               Dubuque                                          Mexican      3
          East Ballina                                             Cafe      1
             Edinburgh                                         American      2
             Faridabad                                     North Indian     28
               Fernley                                          Mexican      1
               Flaxton                           Tea, Modern Australian      1
               Forrest                                 Cafe, Australian      1
           Gainesville                               American, Southern      2
             Ghaziabad                                             Cafe      3
                   Goa         Continental, Goan, Seafood, North Indian      2
               Gurgaon                                     North Indian    105
              Guwahati                                             Cafe      2
       Hepburn Springs          Cafe, Coffee and Tea, Modern Australian      1
             Huskisson                     Breakfast, Modern Australian      1
             Hyderabad            European, Mediterranean, North Indian      2
                Indore                            North Indian, Chinese      3
            Inner City                           European, Contemporary      1
             Inverloch        Burger, Coffee and Tea, Modern Australian      1
                Jaipur                    Cafe, Fast Food, North Indian      1
               Jakarta                                 Seafood, Western      2
          Johannesburg                                         American      1
                Kanpur                                     North Indian      2
                 Kochi                       Cafe, Continental, Italian      2
               Kolkata                            North Indian, Chinese      2
        Lakes Entrance                        Breakfast, Coffee and Tea      1
              Lakeview                       Burger, Desserts, Sandwich      1
               Lincoln                                             Thai      1
                London                                 American, Burger      3
                  Lorn                        Breakfast, Coffee and Tea      1
               Lucknow                                  Cafe, Fast Food      2
              Ludhiana               North Indian, Chinese, Continental      3
               Macedon                                             Cafe      1
                 Macon                            Japanese, Sushi, Thai      2
           Makati City                       French, Japanese, Desserts      1
            Manchester                                          Italian      2
      Mandaluyong City                                          Chinese      1
             Mangalore                                          Seafood      2
              Mayfield                                            Asian      1
             Mc Millan                                Breakfast, Burger      1
       Middleton Beach                      Bar Food, Modern Australian      1
                Mohali                        Continental, North Indian      1
                Monroe                                   Italian, Pizza      1
             Montville                Coffee and Tea, Modern Australian      1
                Mumbai Cafe, Italian, Desserts, Fast Food, Chinese, Tea      4
                Mysore              North Indian, Chinese, South Indian      2
                Nagpur                                             Cafe      4
                Nashik                                     North Indian      5
             New Delhi                                     North Indian    658
                 Noida                                     North Indian    110
          Ojo Caliente            American, International, Southwestern      1
               Orlando                                         American      1
             Palm Cove                           Mediterranean, Seafood      1
             Panchkula              North Indian, Middle Eastern, Pizza      1
            Pasay City                                  Asian, European      1
            Pasig City                    American, Ice Cream, Desserts      1
                 Patna                            North Indian, Chinese      4
           Paynesville                                Modern Australian      1
                Penola                   Cafe, Coffee and Tea, Sandwich      1
             Pensacola                         American, Seafood, Sushi      1
        Phillip Island     Breakfast, Coffee and Tea, Modern Australian      1
             Pocatello                                          Mexican      2
               Potrero                            American, BBQ, Burger      1
              Pretoria                                          African      1
             Princeton                                          Seafood      1
            Puducherry                                             Cafe      3
                  Pune      Continental, North Indian, Mughlai, Burmese      2
           Quezon City                                Filipino, Mexican      1
                Ranchi                            North Indian, Chinese      3
              Randburg                                             Cafe      1
        Rest of Hawaii                         Hawaiian, Seafood, Steak      3
        Rio de Janeiro                                        Brazilian      4
         San Juan City                                         Filipino      1
               Sandton                                          Mexican      2
            Santa Rosa                Cafe, American, Italian, Filipino      1
              Savannah                              American, Breakfast      2
          Secunderabad                                Cafe, Continental      1
               Sharjah                              African, Portuguese      1
             Singapore                                           French      2
            Sioux City                         American, Seafood, Steak      2
                 Surat                             Chinese, Thai, Asian      2
            S��o Paulo                                        Brazilian      3
         Tagaytay City                                         Filipino      1
           Taguig City                American, Asian, Italian, Seafood      1
             Tampa Bay                                 American, Burger      1
             Tangerang                                       Indonesian      1
               Tanunda                    Modern Australian, Australian      1
         Trentham East                                       Australian      1
              Vadodara                                             Cafe      2
              Valdosta                                          Mexican      4
              Varanasi                            Chinese, North Indian      3
              Vernonia                    Coffee and Tea, Mediterranean      1
         Victor Harbor                Coffee and Tea, Tapas, Australian      1
      Vineland Station                    Italian, Mediterranean, Pizza      1
                 Vizag                                        Fast Food      2
              Waterloo                                          Chinese      2
               Weirton                          Burger, Greek, Sandwich      1
       Wellington City                                             Cafe      3
        Winchester Bay                           Burger, Seafood, Steak      1
               Yorkton                                            Asian      1
             ��stanbul                                             Cafe      3
